Name,Price,Tax,Candy,Drink,Frozen,Refridgerated,NOT Vegetarian,Medicine,Not-food,Barcode
Mentos Chewy Mint,1.10,0,1,,,,,,,73390001834
M&M Milk Chocolate 1.69Oz,1.00,0,1,,,,,,,4003100
Twix,1.00,0,1,,,,,,,4043506
Wrigleys Juicy Fruit,1.25,0,1,,,,,,,2266707
SNICKERS BITES,1.85,0,1,,,,,,,40000422525
Ben&Jerry Cherry Garcia,6.86,0,,,1,,,,,
Cherry Coke (20Oz),1.50,9,,1,,,,,,49000018011
Lindor Truffle,0.35,9,1,,,,,,,3746653
Tootsie Roll Pop,0.25,0,1,,,,,,,
Caramel Apple Pop,0.25,0,1,,,,,,,
Paper Bag,0.10,9,,,,,,,1,
Skippy Chunky Peanus Butter 16Oz,5.89,0,,,,,,,,48001006416
Mexican Coke,1.74,9,,1,,,,,,
NOS ENERGY,3.23,9,,1,,,,,,
POWERAID 20Oz,1.65,9,,1,,,,,,
Evian .5 Liter,1.60,9,,1,,,,,,
Dasani 20Oz,1.60,9,,1,,,,,,
ZICO,2.75,9,,1,,,,,,
Evian 1 Liter,2.50,9,,1,,,,,,
DASINI Drops,2.25,0,,1,,,,,,
Fruit Water,1.80,9,,1,,,,,,
Honest Ade,2.00,9,,1,,,,,,
Vitaminwater,1.95,9,,1,,,,,,
Aloevine,1.50,9,,1,,,,,,
Core Power,3.20,9,,1,,,,,,
Illys Café ,2.49,9,,1,,,,,,
Yogoalo,1.65,9,,1,,,,,,
Illy's Coffee,2.74,9,,1,,,,,,
Naked Juice Protein,4.35,9,,1,,,,,,
Naked Juice,3.75,9,,1,,,,,,
Tropicana Juices,1.80,9,,1,,,,,,
Odwalla,3.75,9,,1,,,,,,
Odwalla OJ,2.80,9,,1,,,,,,
Simply Juice,2.00,9,,1,,,,,,
POM Peach Passion tea,2.50,0,,1,,,,,,824150423164
Raspberry Milano,4.40,0,,1,,,,,,
Pringles,3.00,0,,,,,,,,
Kettle Chips,1.50,0,,,,,,,,
Abc Cookie,2.20,0,,,,,,,
INSTANT CUP NAMA UDON,2.95,0,,,,,,,
Bag,1.00,0,,,,,,,
